molecule_chembl_id,canonical_smiles
CHEMBL276870,O=C(O)CN1C(=O)c2cccc3cc(N=C=S)cc(c23)C1=O
CHEMBL266787,COc1cc([C@@H]2c3cc4c(cc3N[C@@H]3COC(=O)N23)OCCO4)cc(OC)c1OC
CHEMBL14165,CCOCCn1c(=O)[nH]c2c(=O)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c(-c3ccccc3)cc2c1=O
CHEMBL8179,Cc1cc(-c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)cc(C)n1
CHEMBL10590,COc1ccc(C#Cc2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)s2)cc1
CHEMBL15559,CCCc1c(OCCCOc2cc(O)c(C(C)=O)cc2CC)ccc2c1OC(C(=O)[O-])CC2.[Na+]
CHEMBL267385,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1
CHEMBL11321,CC1(C)CC1C(=O)N/C(=C\CCCBr)C(=O)O
CHEMBL8815,CN1CC=C(c2c(O)cc(O)c3c(=O)cc(C4CCCCC4)oc23)CC1
CHEMBL278424,CC(=O)N[C@@H](CCCCNC(=O)CC1OC(CO)C(O)C(O)C1O)C(=O)NCC(N)=O
CHEMBL277818,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CSc4ccccc4)C3)[C@H](C)[C@H]12
CHEMBL6214,CSc1ccc(C(=O)c2ccc(-n3ncc(=O)[nH]c3=O)cc2Cl)cc1
CHEMBL275812,C=C(c1c(C)c(C)cc(Cl)c1OCC(O)CNC(C)(C)C)n1ccnc1
CHEMBL11000,Cn1c(=O)c2nc(-c3ccc(N)cc3N)[nH]c2n(C)c1=O
CHEMBL13847,Cc1ccc([C@@H]2CN(c3ccccc3)C[C@H]2C(=O)c2ccc(F)cc2)cc1
CHEMBL6485,CCC(c1ccc(O)c(Br)c1)C(CC)c1ccc(O)c(Br)c1
CHEMBL7914,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1
CHEMBL11931,COC(=O)Nc1nc2cc(C(=O)Nc3cccc(C)n3)ccc2[nH]1
CHEMBL274881,COCC#CCC(NS(=O)(=O)c1ccc(-c2ccc(OC)cc2)cc1)C(=O)O
CHEMBL264214,CCSc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C
CHEMBL6840,Cc1ccc(C(=O)OCC(O)CNC(C)C)cc1
CHEMBL9865,CCCCCC/C=C/CCCCCCCC(=O)OCc1cc(=O)c(OC(=O)C(C)(C)C)co1
CHEMBL273786,Cc1cc2c(s1)Nc1ccc(F)cc1N=C2N1CCN(C)CC1
CHEMBL268379,CC(C)c1ccc(C2NC(=O)c3cccnc3N2)cc1
CHEMBL7761,O=C(N[C@@H](CO)C(=O)O)c1ccccc1Br
